,Country,Year,Value,Resource,Metric,Price,Price_Production
9998,Sweden,2022,240.07612871232877,Oil,Consumption,38.91008783109549,9341.383254346098
9999,Switzerland,2022,185.28410868493148,Oil,Consumption,38.91008783109549,7209.420942636926
10000,Turkey,2022,1071.5682245547944,Oil,Consumption,38.91008783109549,41694.81373
10001,Ukraine,2022,200.5098357755166,Oil,Consumption,38.91008783109549,7801.855321023883
10002,United Kingdom,2022,1299.4453579847411,Oil,Consumption,38.91008783109549,50561.53301
10003,Other Europe ,2022,365.5260185734968,Oil,Consumption,38.91008783109549,14222.64949
10004,Total Europe ,2022,14164.862724424547,Oil,Consumption,38.91008783109549,551156.0527227697
10005,Azerbaijan,2022,126.19064931506853,Oil,Consumption,38.91008783109549,4910.089248312286
10006,Belarus,2022,162.30014570912985,Oil,Consumption,38.91008783109549,6315.112924541838
10007,Kazakhstan,2022,322.7185722254794,Oil,Consumption,38.91008783109549,12557.007990019138
10008,Russian Federation,2022,3613.500471,Oil,Consumption,38.91008783109549,140601.62068540772
10009,Turkmenistan,2022,183.2379924767899,Oil,Consumption,38.91008783109549,7129.806381
10010,Uzbekistan,2022,134.32229936459643,Oil,Consumption,38.91008783109549,5226.492465951149
10011,Other CIS,2022,99.687632,Oil,Consumption,38.91008783109549,3878.8545166572494
10012,Total CIS,2022,4641.957761601632,Oil,Consumption,38.91008783109549,180618.98421215493
10013,Iran,2022,1906.2859244038084,Oil,Consumption,38.91008783109549,74173.75274973323
10014,Iraq,2022,851.6716314851665,Oil,Consumption,38.91008783109549,33138.61798434022
10015,Israel,2022,224.3792979083592,Oil,Consumption,38.91008783109549,8730.618189093797
10016,Kuwait,2022,482.0855886,Oil,Consumption,38.91008783109549,18757.992596317807
10017,Oman,2022,226.7705569885514,Oil,Consumption,38.91008783109549,8823.662289930979
10018,Qatar,2022,364.4693315676244,Oil,Consumption,38.91008783109549,14181.53370303693
10019,Saudi Arabia,2022,3854.152481496469,Oil,Consumption,38.91008783109549,149965.41156946225
10020,United Arab Emirates,2022,1099.6737993651657,Oil,Consumption,38.91008783109549,42788.404118853075
10021,Other Middle East,2022,523.7386372863289,Oil,Consumption,38.91008783109549,20378.71637734932
10022,Total Middle East,2022,9533.227249147383,Oil,Consumption,38.91008783109549,370938.70957811753
10023,Algeria,2022,418.3291386874935,Oil,Consumption,38.91008783109549,16277.22353
10024,Egypt,2022,755.6609178082192,Oil,Consumption,38.91008783109549,29402.832682444037
10025,Morocco,2022,298.5501234023242,Oil,Consumption,38.91008783109549,11616.61152356883
10026,South Africa,2022,501.1324990611711,Oil,Consumption,38.91008783109549,19499.109553486545
10027,Eastern Africa,2022,703.7195229592227,Oil,Consumption,38.91008783109549,27381.788446799972
10028,Middle Africa,2022,285.200425,Oil,Consumption,38.91008783109549,11097.173587978778
10029,Western Africa,2022,1030.9706687282458,Oil,Consumption,38.91008783109549,40115.159271499295
10030,Other Northern Africa,2022,380.7819635,Oil,Consumption,38.91008783109549,14816.259645483891
10031,Other Southern Africa,2022,56.01729474820113,Oil,Consumption,38.91008783109549,2179.637859
10032,Total Africa,2022,4430.362553971076,Oil,Consumption,38.91008783109549,172385.79609861108
10033,Australia,2022,999.0857603276748,Oil,Consumption,38.91008783109549,38874.51468514664
10034,Bangladesh,2022,274.54977350411696,Oil,Consumption,38.91008783109549,10682.755801052564
10035,China,2022,14969.983186301371,Oil,Consumption,38.91008783109549,582483.3606
10036,China Hong Kong SAR,2022,214.27048327811136,Oil,Consumption,38.91008783109549,8337.283324
10037,India,2022,5208.698943616128,Oil,Consumption,38.91008783109549,202670.93338183785
10038,Indonesia,2022,1596.5853776639617,Oil,Consumption,38.91008783109549,62123.27727474751
10039,Japan,2022,3501.628204,Oil,Consumption,38.91008783109549,136248.66095784432
10040,Malaysia,2022,845.2442777477564,Oil,Consumption,38.91008783109549,32888.52908589607
10041,New Zealand,2022,146.55794314383908,Oil,Consumption,38.91008783109549,5702.582440071477
10042,Pakistan,2022,506.1427983649863,Oil,Consumption,38.91008783109549,19694.06073945807
10043,Philippines,2022,451.0707946,Oil,Consumption,38.91008783109549,17551.204235374575
10044,Singapore,2022,1227.7667199439047,Oil,Consumption,38.91008783109549,47772.51090911335
10045,South Korea,2022,2856.0136986301377,Oil,Consumption,38.91008783109549,111127.74386051054
10046,Sri Lanka,2022,97.68242644547368,Oil,Consumption,38.91008783109549,3800.8317925479055
10047,Taiwan,2022,883.1607072774895,Oil,Consumption,38.91008783109549,34363.860689139525
10048,Thailand,2022,1220.8236927198009,Oil,Consumption,38.91008783109549,47502.35711000978
10049,Vietnam,2022,613.8712116463422,Oil,Consumption,38.91008783109549,23885.78276214018
10050,Other Asia Pacific,2022,604.9780746596863,Oil,Consumption,38.91008783109549,23539.750020895437
10051,Total Asia Pacific,2022,36218.11407355747,Oil,Consumption,38.91008783109549,1409249.9996787568
10052,Total World,2022,98296.52606914272,Oil,Consumption,38.91008783109549,3824726.462841911
10053,of which: OECD,2022,44889.571064701326,Oil,Consumption,38.91008783109549,1746657.152827731
10054,                 Non-OECD,2022,53406.955,Oil,Consumption,38.91008783109549,2078069.3100141797
10055,                 European Union #,2022,10841.324820574458,Oil,Consumption,38.91008783109549,421836.9009739877
10056,Canada,2023,2312.7137813220224,Oil,Consumption,30.18343040725455,69805.63547043178
10057,Mexico,2023,1843.2201428366477,Oil,Consumption,30.18343040725455,55634.70690655975
10058,US,2023,19013.82667123288,Oil,Consumption,30.18343040725455,573902.5141
10059,Total North America,2023,23169.760595391548,Oil,Consumption,30.18343040725455,699342.8564837496
10060,Argentina,2023,664.0331202,Oil,Consumption,30.18343040725455,20042.797472911298
10061,Brazil,2023,2577.27159,Oil,Consumption,30.18343040725455,77790.89766899122
10062,Chile,2023,406.4663374891538,Oil,Consumption,30.18343040725455,12268.548410495514
10063,Colombia,2023,456.1157558744766,Oil,Consumption,30.18343040725455,13767.13817508957
10064,Ecuador,2023,284.3839812089829,Oil,Consumption,30.18343040725455,8583.684105759321
10065,Peru,2023,267.6356389889201,Oil,Consumption,30.18343040725455,8078.161683923173
10066,Trinidad & Tobago,2023,32.51708583750608,Oil,Consumption,30.18343040725455,981.4771974230873
10067,Venezuela,2023,361.6406849290624,Oil,Consumption,30.18343040725455,10915.556445988224
10068,Central America,2023,497.1314589965108,Oil,Consumption,30.18343040725455,15005.132795878102
10069,Other Caribbean,2023,556.1197724,Oil,Consumption,30.18343040725455,16785.60244737432
10070,Other South America,2023,250.0672833093702,Oil,Consumption,30.18343040725455,7547.8884428995825
10071,Total S. & Cent. America,2023,6353.382708966124,Oil,Consumption,30.18343040725455,191766.8848467334
10072,Austria,2023,231.4896840547945,Oil,Consumption,30.18343040725455,6987.152768665233
10073,Belgium,2023,567.6734776,Oil,Consumption,30.18343040725455,17134.332904852996
10074,Bulgaria,2023,106.04058350684932,Oil,Consumption,30.18343040725455,3200.668572623651
10075,Croatia,2023,75.63769315068491,Oil,Consumption,30.18343040725455,2283.0050473789724
10076,Cyprus,2023,48.10273123287672,Oil,Consumption,30.18343040725455,1451.9054405664044
10077,Czech Republic,2023,190.98978082191783,Oil,Consumption,30.18343040725455,5764.7267579351565
10078,Denmark,2023,156.28479881869455,Oil,Consumption,30.18343040725455,4717.211348855845
10079,Estonia,2023,26.474435972602738,Oil,Consumption,30.18343040725455,799.0892957503712
10080,Finland,2023,161.26119200000002,Oil,Consumption,30.18343040725455,4867.415966122915
10081,France,2023,1364.2403630452732,Oil,Consumption,30.18343040725455,41177.45405674469
10082,Germany,2023,2033.8608156712328,Oil,Consumption,30.18343040725455,61388.896387854635
10083,Greece,2023,295.2225953424658,Oil,Consumption,30.18343040725455,8910.830661
10084,Hungary,2023,168.46351917808218,Oil,Consumption,30.18343040725455,5084.806907272836
10085,Iceland,2023,18.948363786144853,Oil,Consumption,30.18343040725455,571.9266196704456
10086,Ireland,2023,147.4818967,Oil,Consumption,30.18343040725455,4451.509566573422
10087,Italy,2023,1267.3989734794525,Oil,Consumption,30.18343040725455,38254.44871424291
10088,Latvia,2023,34.27691553424658,Oil,Consumption,30.18343040725455,1034.594894603274
10089,Lithuania,2023,65.74216712328766,Oil,Consumption,30.18343040725455,1984.324126187851
10090,Luxembourg,2023,46.720041260273966,Oil,Consumption,30.18343040725455,1410.1711140035404
10091,Netherlands,2023,834.4117739,Oil,Consumption,30.18343040725455,25185.409708215044
10092,North Macedonia,2023,23.96211290252055,Oil,Consumption,30.18343040725455,723.2587672040054
10093,Norway,2023,217.2653494344462,Oil,Consumption,30.18343040725455,6557.813554562449
10094,Poland,2023,694.5313697260273,Oil,Consumption,30.18343040725455,20963.339263780723
10095,Portugal,2023,219.6491035068493,Oil,Consumption,30.18343040725455,6629.763429714837
10096,Romania,2023,231.32026523287664,Oil,Consumption,30.18343040725455,6982.039127444196
10097,Slovakia,2023,86.47882191780822,Oil,Consumption,30.18343040725455,2610.227503057524
10098,Slovenia,2023,45.74316973,Oil,Consumption,30.18343040725455,1380.6857800327814
10099,Spain,2023,1198.842835504318,Oil,Consumption,30.18343040725455,36185.18929
10100,Sweden,2023,239.82925178082192,Oil,Consumption,30.18343040725455,7238.8695307503685
10101,Switzerland,2023,188.32933252054795,Oil,Consumption,30.18343040725455,5684.4253017786605
10102,Turkey,2023,1143.0290049945206,Oil,Consumption,30.18343040725455,34500.53642572553
10103,Ukraine,2023,203.79661341413168,Oil,Consumption,30.18343040725455,6151.280898219603
10104,United Kingdom,2023,1315.456075,Oil,Consumption,30.18343040725455,39704.97691
10105,Other Europe ,2023,361.5605361106877,Oil,Consumption,30.18343040725455,10913.137279706587
10106,Total Europe ,2023,14010.51564441875,Oil,Consumption,30.18343040725455,422885.4239230645
10107,Azerbaijan,2023,131.33809589041095,Oil,Consumption,30.18343040725455,3964.234277129544
10108,Belarus,2023,161.45943840331933,Oil,Consumption,30.18343040725455,4873.399722640992
10109,Kazakhstan,2023,333.4857827807315,Oil,Consumption,30.18343040725455,10065.744916371017
10110,Russian Federation,2023,3765.006896513156,Oil,Consumption,30.18343040725455,113640.82364373827
10111,Turkmenistan,2023,162.51361900374448,Oil,Consumption,30.18343040725455,4905.218509430602
10112,Uzbekistan,2023,135.21196156328594,Oil,Consumption,30.18343040725455,4081.1608320738183
10113,Other CIS,2023,103.03951225723348,Oil,Consumption,30.18343040725455,3110.085947413659
10114,Total CIS,2023,4792.055306411882,Oil,Consumption,30.18343040725455,144640.66784879792
10115,Iran,2023,1931.310855,Oil,Consumption,30.18343040725455,58293.58677585487
10116,Iraq,2023,905.9915115,Oil,Consumption,30.18343040725455,27345.931737448864
10117,Israel,2023,218.1505280738565,Oil,Consumption,30.18343040725455,6584.531282423078
10118,Kuwait,2023,495.8823858734695,Oil,Consumption,30.18343040725455,14967.431484195215
10119,Oman,2023,226.88283096115416,Oil,Consumption,30.18343040725455,6848.102138916895
10120,Qatar,2023,387.9017203913656,Oil,Consumption,30.18343040725455,11708.204582287097
10121,Saudi Arabia,2023,3899.8589722540696,Oil,Consumption,30.18343040725455,117711.12188713797
10122,United Arab Emirates,2023,1137.687732971017,Oil,Consumption,30.18343040725455,34339.31851331789
10123,Other Middle East,2023,530.5159291370167,Oil,Consumption,30.18343040725455,16012.790627047129
10124,Total Middle East,2023,9734.182465821112,Oil,Consumption,30.18343040725455,293811.019
10125,Algeria,2023,439.9319057637359,Oil,Consumption,30.18343040725455,13278.654061550591
10126,Egypt,2023,740.5097260273973,Oil,Consumption,30.18343040725455,22351.12378144308
10127,Morocco,2023,299.3111779778596,Oil,Consumption,30.18343040725455,9034.238110608107
10128,South Africa,2023,505.1727219212564,Oil,Consumption,30.18343040725455,15247.845695753598
10129,Eastern Africa,2023,718.8746621597481,Oil,Consumption,30.18343040725455,21698.103336837386
10130,Middle Africa,2023,294.22714382845794,Oil,Consumption,30.18343040725455,8880.784519671535
10131,Western Africa,2023,985.0322001381052,Oil,Consumption,30.18343040725455,29731.650861773334
10132,Other Northern Africa,2023,409.9704231986298,Oil,Consumption,30.18343040725455,12374.31373764854
10133,Other Southern Africa,2023,56.58564826,Oil,Consumption,30.18343040725455,1707.9489761778834
10134,Total Africa,2023,4449.615609270975,Oil,Consumption,30.18343040725455,134304.66308146404
10135,Australia,2023,1057.833774567518,Oil,Consumption,30.18343040725455,31929.05211710208
10136,Bangladesh,2023,232.9337747867928,Oil,Consumption,30.18343040725455,7030.740380776266
10137,China,2023,16578.654889841946,Oil,Consumption,30.18343040725455,500400.6761134348
10138,China Hong Kong SAR,2023,268.2050147640485,Oil,Consumption,30.18343040725455,8095.347398007337
10139,India,2023,5452.083249808202,Oil,Consumption,30.18343040725455,164562.57534514408
10140,Indonesia,2023,1598.282231,Oil,Consumption,30.18343040725455,48241.64048180557
10141,Japan,2023,3421.538107,Oil,Consumption,30.18343040725455,103273.75735295963
10142,Malaysia,2023,919.0594267564128,Oil,Consumption,30.18343040725455,27740.366247633447
10143,New Zealand,2023,156.6655188950534,Oil,Consumption,30.18343040725455,4728.702786785268
10144,Pakistan,2023,410.0135240003812,Oil,Consumption,30.18343040725455,12375.61467
10145,Philippines,2023,462.8067855,Oil,Consumption,30.18343040725455,13969.096403315281
10146,Singapore,2023,1407.6315855492155,Oil,Consumption,30.18343040725455,42487.15000147813
10147,South Korea,2023,2796.4549241287677,Oil,Consumption,30.18343040725455,84406.60258946496
10148,Sri Lanka,2023,109.67066278758018,Oil,Consumption,30.18343040725455,3310.236817966408
10149,Taiwan,2023,834.7603669311402,Oil,Consumption,30.18343040725455,25195.931442000343
10150,Thailand,2023,1216.9315977336703,Oil,Consumption,30.18343040725455,36731.170190583325
10151,Vietnam,2023,658.4708681640382,Oil,Consumption,30.18343040725455,19874.909624433734
10152,Other Asia Pacific,2023,602.7086023056559,Oil,Consumption,30.18343040725455,18191.813153546424
10153,Total Asia Pacific,2023,38184.70490475207,Oil,Consumption,30.18343040725455,1152545.3831141356
10154,Total World,2023,100694.21723503248,Oil,Consumption,30.18343040725455,3039296.898326575
10155,of which: OECD,2023,44708.308012539135,Oil,Consumption,30.18343040725455,1349450.103522576
10156,                 Non-OECD,2023,55985.90922249336,Oil,Consumption,30.18343040725455,1689846.7948039991
10157,                 European Union #,2023,10590.169094299794,Oil,Consumption,30.18343040725455,319647.6318588558
10158,Canada,2024,2333.198975434168,Oil,Consumption,28.38557672743645,66229.19854
10159,Mexico,2024,1853.3029035689087,Oil,Consumption,28.38557672743645,52607.07176843601
10160,US,2024,18995.005461748635,Oil,Consumption,28.38557672743645,539184.1849725404
10161,Total North America,2024,23181.507340751712,Oil,Consumption,28.38557672743645,658020.4552785391
10162,Argentina,2024,604.3353282405619,Oil,Consumption,28.38557672743645,17154.40682887296
10163,Brazil,2024,2575.230189717833,Oil,Consumption,28.38557672743645,73099.39414104629
10164,Chile,2024,428.1350116361457,Oil,Consumption,28.38557672743645,12152.859222499712
10165,Colombia,2024,449.04745047363167,Oil,Consumption,28.38557672743645,12746.470859678991
10166,Ecuador,2024,290.2750363753011,Oil,Consumption,28.38557672743645,8239.624317090516
10167,Peru,2024,279.5888296,Oil,Consumption,28.38557672743645,7936.290175920034
10168,Trinidad & Tobago,2024,33.236509844638526,Oil,Consumption,28.38557672743645,943.4375003471838
10169,Venezuela,2024,325.10433134150685,Oil,Consumption,28.38557672743645,9228.273941716265
10170,Central America,2024,516.7247207983999,Oil,Consumption,28.38557672743645,14667.529209186157
10171,Other Caribbean,2024,575.1139528223633,Oil,Consumption,28.38557672743645,16324.941234858461
10172,Other South America,2024,259.29414919795033,Oil,Consumption,28.38557672743645,7360.213967033774
10173,Total S. & Cent. America,2024,6336.08551,Oil,Consumption,28.38557672743645,179853.44139825035
10174,Austria,2024,228.16409665029408,Oil,Consumption,28.38557672743645,6476.569471913149
10175,Belgium,2024,576.9601084295153,Oil,Consumption,28.38557672743645,16377.345426496062
10176,Bulgaria,2024,108.62076283116204,Oil,Consumption,28.38557672743645,3083.2629975366276
10177,Croatia,2024,81.16645193,Oil,Consumption,28.38557672743645,2303.9565490013733
10178,Cyprus,2024,49.20356546448088,Oil,Consumption,28.38557672743645,1396.6715827554644
10179,Czech Republic,2024,199.52440313648924,Oil,Consumption,28.38557672743645,5663.615254226777
10180,Denmark,2024,157.0926876436481,Oil,Consumption,28.38557672743645,4459.166538427981
10181,Estonia,2024,25.930578439595237,Oil,Consumption,28.38557672743645,736.0544239
10182,Finland,2024,157.1294521357835,Oil,Consumption,28.38557672743645,4460.210119740336
10183,France,2024,1359.6652360267665,Oil,Consumption,28.38557672743645,38594.881880865774
10184,Germany,2024,2051.450337431694,Oil,Consumption,28.38557672743645,58231.60095569275
10185,Greece,2024,298.3400481759444,Oil,Consumption,28.38557672743645,8468.554328365357
10186,Hungary,2024,170.5799332132966,Oil,Consumption,28.38557672743645,4842.0097823870165
10187,Iceland,2024,19.589684170481068,Oil,Consumption,28.38557672743645,556.0644830874377
10188,Ireland,2024,148.71263347393855,Oil,Consumption,28.38557672743645,4221.293867813617
10189,Italy,2024,1262.4755544865204,Oil,Consumption,28.38557672743645,35836.09671839001
10190,Latvia,2024,32.42691273220945,Oil,Consumption,28.38557672743645,920.4566193940174
10191,Lithuania,2024,64.08693526629602,Oil,Consumption,28.38557672743645,1819.1446182276989
10192,Luxembourg,2024,48.15213316512344,Oil,Consumption,28.38557672743645,1366.8260705483488
10193,Netherlands,2024,784.6810952171941,Oil,Consumption,28.38557672743645,22273.62543485653
10194,North Macedonia,2024,24.48678950819672,Oil,Consumption,28.38557672743645,695.0716423935038
10195,Norway,2024,222.1786427574573,Oil,Consumption,28.38557672743645,6306.6689111894975
10196,Poland,2024,704.6620295121662,Oil,Consumption,28.38557672743645,20002.238105628683
10197,Portugal,2024,213.1170483735692,Oil,Consumption,28.38557672743645,6049.450328532734
10198,Romania,2024,242.20440917317157,Oil,Consumption,28.38557672743645,6875.111840308475
10199,Slovakia,2024,85.27546092292438,Oil,Consumption,28.38557672743645,2420.593138995179
10200,Slovenia,2024,45.17699927937907,Oil,Consumption,28.38557672743645,1282.3751793601557
10201,Spain,2024,1269.899767392279,Oil,Consumption,28.38557672743645,36046.83728346724
10202,Sweden,2024,248.6799125,Oil,Consumption,28.38557672743645,7058.922736894241
10203,Switzerland,2024,188.01649485692548,Oil,Consumption,28.38557672743645,5336.956640784919
10204,Turkey,2024,1162.4583941993058,Oil,Consumption,28.38557672743645,32997.051940996964
10205,Ukraine,2024,205.9767262,Oil,Consumption,28.38557672743645,5846.7681667505285
10206,United Kingdom,2024,1325.1002920207898,Oil,Consumption,28.38557672743645,37613.736010704575
10207,Other Europe ,2024,366.9045357663936,Oil,Consumption,28.38557672743645,10414.796851641418
10208,Total Europe ,2024,14128.090112526535,Oil,Consumption,28.38557672743645,401033.98590125825
10209,Azerbaijan,2024,128.1870586870123,Oil,Consumption,28.38557672743645,3638.663589824587
10210,Belarus,2024,161.88800592256823,Oil,Consumption,28.38557672743645,4595.284413366747
10211,Kazakhstan,2024,346.2566631644858,Oil,Consumption,28.38557672743645,9828.695079641631
10212,Russian Federation,2024,3846.333419941573,Oil,Consumption,28.38557672743645,109180.39241105458
10213,Turkmenistan,2024,162.41152574646813,Oil,Consumption,28.38557672743645,4610.144825496392
10214,Uzbekistan,2024,137.30441505753046,Oil,Consumption,28.38557672743645,3897.465008631312
10215,Other CIS,2024,101.9548316,Oil,Consumption,28.38557672743645,2894.046695520548
10216,Total CIS,2024,4884.335920133937,Oil,Consumption,28.38557672743645,138644.69202353578
10217,Iran,2024,1953.250980929792,Oil,Consumption,28.38557672743645,55444.15558712312
10218,Iraq,2024,924.7990044,Oil,Consumption,28.38557672743645,26250.953095954126
10219,Israel,2024,206.9411079968967,Oil,Consumption,28.38557672743645,5874.142699106625
10220,Kuwait,2024,519.1645402570715,Oil,Consumption,28.38557672743645,14736.784891631374
10221,Oman,2024,217.43495134685725,Oil,Consumption,28.38557672743645,6172.016494682628
10222,Qatar,2024,397.2803955794623,Oil,Consumption,28.38557672743645,11277.033151027133
10223,Saudi Arabia,2024,3958.600814,Oil,Consumption,28.38557672743645,112367.16713196518
10224,United Arab Emirates,2024,1183.3025650875725,Oil,Consumption,28.38557672743645,33588.72575306566
10225,Other Middle East,2024,532.4781766,Oil,Consumption,28.38557672743645,15114.700137241844
10226,Total Middle East,2024,9893.252535903628,Oil,Consumption,28.38557672743645,280825.6789417977
10227,Algeria,2024,461.42931057567137,Oil,Consumption,28.38557672743645,13097.937099633824
10228,Egypt,2024,781.7419398907103,Oil,Consumption,28.38557672743645,22190.19581582277
10229,Morocco,2024,315.80814852684546,Oil,Consumption,28.38557672743645,8964.396431158419
10230,South Africa,2024,466.57644410968607,Oil,Consumption,28.38557672743645,13244.04145348996
10231,Eastern Africa,2024,731.1467661663316,Oil,Consumption,28.38557672743645,20754.022630031443
10232,Middle Africa,2024,297.66515195587914,Oil,Consumption,28.38557672743645,8449.397009927638
10233,Western Africa,2024,1017.283624795108,Oil,Consumption,28.38557672743645,28876.182385186214
10234,Other Northern Africa,2024,430.0993974632866,Oil,Consumption,28.38557672743645,12208.619447118308
10235,Other Southern Africa,2024,56.89957939625597,Oil,Consumption,28.38557672743645,1615.1273767112862
10236,Total Africa,2024,4558.650362879777,Oil,Consumption,28.38557672743645,129399.91964907994
10237,Australia,2024,1087.0096776067442,Oil,Consumption,28.38557672743645,30855.396607172195
10238,Bangladesh,2024,264.4385136191561,Oil,Consumption,28.38557672743645,7506.239718025804
10239,China,2024,16373.508177850608,Oil,Consumption,28.38557672743645,464771.4726796866
10240,China Hong Kong SAR,2024,304.5634018349051,Oil,Consumption,28.38557672743645,8645.207811
10241,India,2024,5620.536992200766,Oil,Consumption,28.38557672743645,159542.18404150972
10242,Indonesia,2024,1633.1974734637647,Oil,Consumption,28.38557672743645,46359.25219406105
10243,Japan,2024,3237.857316522558,Oil,Consumption,28.38557672743645,91908.44729064257
10244,Malaysia,2024,934.3778826530688,Oil,Consumption,28.38557672743645,26522.855080468296
10245,New Zealand,2024,158.14594804156195,Oil,Consumption,28.38557672743645,4489.063942266935
10246,Pakistan,2024,423.8025979127544,Oil,Consumption,28.38557672743645,12029.881160339388
10247,Philippines,2024,486.6413337303932,Oil,Consumption,28.38557672743645,13813.594917346085
10248,Singapore,2024,1491.9485126363174,Oil,Consumption,28.38557672743645,42349.81897882288
10249,South Korea,2024,2891.4876692010034,Oil,Consumption,28.38557672743645,82076.54509054148
10250,Sri Lanka,2024,115.51326699535912,Oil,Consumption,28.38557672743645,3278.910703333619
10251,Taiwan,2024,823.9284711632498,Oil,Consumption,28.38557672743645,23387.684836123837
10252,Thailand,2024,1252.797913616552,Oil,Consumption,28.38557672743645,35561.39130093494
10253,Vietnam,2024,706.8722025038907,Oil,Consumption,28.38557672743645,20064.975140666185
10254,Other Asia Pacific,2024,629.4396250246582,Oil,Consumption,28.38557672743645,17867.006771426266
10255,Total Asia Pacific,2024,38436.066976577305,Oil,Consumption,28.38557672743645,1091029.9282645215
10256,Total World,2024,101417.98875886264,Oil,Consumption,28.38557672743645,2878808.101456983
10257,of which: OECD,2024,44760.361953236585,Oil,Consumption,28.38557672743645,1270548.6885714245
10258,                 Non-OECD,2024,56657.62680562601,Oil,Consumption,28.38557672743645,1608259.4128855572
10259,                 European Union #,2024,10661.385390343896,Oil,Consumption,28.38557672743645,302629.57301837666
10260,Canada,1970,1.944585919380188,Natural Gas,Production,,
10261,Mexico,1970,0.3970910608768463,Natural Gas,Production,,
10262,US,1970,20.572643280029297,Natural Gas,Production,,
10263,Total North America,1970,22.91432026028633,Natural Gas,Production,,
10264,Argentina,1970,0.2107602059841156,Natural Gas,Production,,
10265,Bolivia,1970,0.001507248,Natural Gas,Production,,
10266,Brazil,1970,0.002919645,Natural Gas,Production,,
10267,Colombia,1970,0.044975702,Natural Gas,Production,,
10268,Peru,1970,0.01431045,Natural Gas,Production,,
10269,Trinidad & Tobago,1970,0.063963272,Natural Gas,Production,,
10270,Venezuela,1970,0.3080916106700897,Natural Gas,Production,,
10271,Other S. & Cent. America,1970,0.026660413,Natural Gas,Production,,
10272,Total S. & Cent. America,1970,0.6731885455956217,Natural Gas,Production,,
10273,Denmark,1970,0,Natural Gas,Production,,
10274,Germany,1970,0.4324671030044555,Natural Gas,Production,,
10275,Italy,1970,0.4529358148574829,Natural Gas,Production,,
10276,Netherlands,1970,1.0049999952316284,Natural Gas,Production,,
10277,Norway,1970,0,Natural Gas,Production,,
10278,Poland,1970,0.1842956990003585,Natural Gas,Production,,
10279,Romania,1970,0.7827427983283997,Natural Gas,Production,,
10280,Ukraine,1970,0,Natural Gas,Production,,
10281,United Kingdom,1970,0.3941872119903564,Natural Gas,Production,,
10282,Other Europe,1970,0.5258830718012177,Natural Gas,Production,,
10283,Total Europe,1970,3.7775116942138993,Natural Gas,Production,,
10284,Azerbaijan,1970,0,Natural Gas,Production,,
10285,Kazakhstan,1970,0,Natural Gas,Production,,
10286,Russian Federation,1970,0,Natural Gas,Production,,
10287,Turkmenistan,1970,0,Natural Gas,Production,,
10288,Uzbekistan,1970,0,Natural Gas,Production,,
10289,Other CIS,1970,0,Natural Gas,Production,,
10290,Total CIS,1970,6.750050067901611,Natural Gas,Production,,
10291,Bahrain,1970,0.023404213,Natural Gas,Production,,
10292,Iran,1970,0.1258363425731659,Natural Gas,Production,,
10293,Iraq,1970,0.026675999,Natural Gas,Production,,
10294,Israel,1970,0.004598509,Natural Gas,Production,,
10295,Kuwait,1970,0.069665402,Natural Gas,Production,,
10296,Oman,1970,0,Natural Gas,Production,,
10297,Qatar,1970,0.037446301,Natural Gas,Production,,
10298,Saudi Arabia,1970,0.055301402,Natural Gas,Production,,
10299,Syria,1970,0,Natural Gas,Production,,
10300,United Arab Emirates,1970,0.0292383,Natural Gas,Production,,
10301,Other Middle East,1970,0,Natural Gas,Production,,
10302,Total Middle East,1970,0.3721664687618613,Natural Gas,Production,,
10303,Algeria,1970,0.08776845,Natural Gas,Production,,
10304,Egypt,1970,0.00294525,Natural Gas,Production,,
10305,Libya,1970,0.0100548,Natural Gas,Production,,
10306,Nigeria,1970,0.0037962,Natural Gas,Production,,
10307,Other Africa,1970,0.003707136,Natural Gas,Production,,
10308,Total Africa,1970,0.1082718361358274,Natural Gas,Production,,
10309,Australia,1970,0.062294308,Natural Gas,Production,,
10310,Bangladesh,1970,0,Natural Gas,Production,,
10311,Brunei,1970,0.0076869,Natural Gas,Production,,
10312,China,1970,0.104132742,Natural Gas,Production,,
10313,India,1970,0.022782478,Natural Gas,Production,,
10314,Indonesia,1970,0.046040401,Natural Gas,Production,,
10315,Malaysia,1970,0,Natural Gas,Production,,
10316,Myanmar,1970,0.000265275,Natural Gas,Production,,
10317,Pakistan,1970,0.1047741323709487,Natural Gas,Production,,
10318,Thailand,1970,0,Natural Gas,Production,,
10319,Vietnam,1970,0,Natural Gas,Production,,
10320,Other Asia Pacific,1970,0.1956832308787852,Natural Gas,Production,,
10321,Total Asia Pacific,1970,0.543659467,Natural Gas,Production,,
10322,Total World,1970,35.13916834026168,Natural Gas,Production,,
10323,of which: OECD,1970,26.085681325035694,Natural Gas,Production,,
10324,                 Non-OECD,1970,9.053487015225985,Natural Gas,Production,,
10325,                 European Union #,1970,3.3474289737423533,Natural Gas,Production,,
10326,Canada,1971,2.1259799003601074,Natural Gas,Production,,
10327,Mexico,1971,0.3930542171001434,Natural Gas,Production,,
10328,US,1971,21.155780792236328,Natural Gas,Production,,
10329,Total North America,1971,23.67481490969658,Natural Gas,Production,,
10330,Argentina,1971,0.2277575582265854,Natural Gas,Production,,
10331,Bolivia,1971,0.001507248,Natural Gas,Production,,
10332,Brazil,1971,0.004634936,Natural Gas,Production,,
10333,Colombia,1971,0.0468162,Natural Gas,Production,,
